,Name,First Name,Last Name,new_town,county,new_state,country,name_type,Name_Fix
3917,No 10314 in Favor Reverend James Manning Register of Treasury | Philip N Brown transferred from the office in Pennsylvania | Stephen Davis Administrator No 11761,Philip N Brown transferred from the office in Pennsylvania,,,,RI,US,state,James Manning | Philip N Brown | Stephen Davis
3918,No 11723 in Favor of James Bursill Jun from Register of Treasury | Rev Ja Manning No 10315 | Warrant for transferring into the books of this office from the Register of the Treasury Viz,Warrant for transferring into the books of this office from the Register of the Treasury Viz,,,,RI,US,state,Ja Manning | James Bursill
3919,James Burrill Jun No 11722 | No 10927 in favour of John Brown | No 11739 in Favor Mehitable Davis Adm to John Davis Deceased from the Register of the Treasure,No 10927 in favour of John Brown,,,,RI,US,state,James Burrill | John Brown | John Davis | Mehitable Davis
3920,Mehetable Davis Administrator No 11741,,,,,RI,US,state,Mehetable Davis
3921,John Bowen No 11747,,,,,RI,US,state,John Bowen
3922,Willard Eddy No 11753,,,,,RI,US,state,Willard Eddy
3923,Benjamin Stelle No 9201,,,,,RI,US,state,Benjamin Stelle
4122,The Heirs of George Guerin,The Heirs of George Guerin,,,,,VI,country,George Guerin
4135,Nicholas Low and Horace and S Johnson,Nicholas Low and Horace and S  Johnson,,,,NY,US,state,Horace Johnson | Nicholas Low | S Johnson
4137,Allexander Gillon and Robert Smith,Allexander Gillon and Robert Smith,,,,SC,US,state,Allexander Gillon | Robert Smith
4157,Presstman and Calhoun,Presstman and Calhoun,,Charleston,Charleston County,SC,US,town,William Presstman
4158,John and Hugh Irvin,John and Hugh Irvin,,,,SC,US,state,Hugh Irvin | John Irvin
4166,Henry Laurens and Arnoldus Vanderhorst,Henry Laurens and Arnoldus Vanderhorst,,,,SC,US,state,Arnoldus Vanderhorst | Henry Laurens
4229,Wadsworth and Turpin,Wadsworth and Turpin,,Charleston,Charleston County,SC,US,town,Thomas Wadsworth | William Turpin
4305,The State of South Carolina,The State of South Carolina,,,,SC,US,state,The State Of South Carolina
4317,Love Stone and Joseph Vesey,Love Stone and Joseph Vesey,,,,SC,US,state,Joseph Vesey | Love Stone
4332,Cross and Crowly,,,Charleston,Charleston County,SC,US,town,Charles Crowley | William George Cross
4363,Randall Son and Stenvarts,,,,,NY,US,state,Thomas Randall
4371,Robert Daniel and Guilian Crommelin,,,,,NY,US,state,Guilian Crommelin | Robert Daniel
4391,Randall Son and Stenvarts,Randall Son and Stenvarts,,,,NY,US,state,Thomas Randall
4445,Jacob and Philip Mark,Jacob and Philip ,Mark,,,NY,US,state,Jacob Mark | Philip Mark
4476,Randall Son and Stewarts,Randall Son and Stewarts,,,,NY,US,state,Thomas Randall
4571,H and S Johnson and Co | H and S Johnson and Co',H and S,Johnson and Co,,,NY,US,state,Horace Johnson | Seth Johnson
4673,Moses and Charles Ogden,Moses and Charles,Ogden,,,NY,US,state,Charles Ogden | Moses Ogden
4678,John and Francis Atkinson,John and Francis,Atkinson,,,NY,US,state,Francis Atkinson | John Atkinson
4697,H and S Johnson and Co',,,,,NY,US,state,Horace Johnson | Seth Johnson
4706,John and Francis Atkinson,,,,,NY,US,state,Francis Atkinson | John Atkinson
4710,Lynch and Stoughton,,,,,NY,US,state,Dominick Lynch | Thomas Stoughton
4747,John and Nicholas J Roosevelt,,,,,NY,US,state,John Roosevelt | Nicholas J Roosevelt
4765,H and S Johnson and Co,,,,,NY,US,state,Horace Johnson | Seth Johnson
4781,John and Baron Van Alen,,,,,NY,US,state,Baron Van Alen | John Van Alen
4816,Isaac and Henry Truax,,,,,NY,US,state,Henry Truax | Isaac Truax
4864,Catherine and Rachel Dow,,,,,NY,US,state,Catherine Dow | Rachel Dow
5075,Charles and J Shaw,,,,,NY,US,state,Charles Shaw | J Shaw
5076,H and S Johnson,,,,,NY,US,state,Horace Johnson | Seth Johnson
5176,Pintard and Bleecker,,,,,NY,US,state,John Pintard | Leonard Bleecker
5197,Le Roy and Bayard,,,,,NY,US,state,Herman Leroy | William Bayard
5239,Abraham and James Cole,,,,,NY,US,state,Abraham Cole | James Cole
5366,W and J Heyer,,,,,NY,US,state,J Heyer | W Heyer
5443,Nicholas Low and H and S Johnson and Co,,,,,NY,US,state,Horace Johnson | Nicholas Low | Seth Johnson
5573,John and James Davenport,,,,,NY,US,state,James Davenport | John Davenport
5694,Wainwright and Caldwell,,,,,NY,US,state,Andrew Caldwell | Francis Wainwright
5734,George and Edm Morewood,,,,,NY,US,state,Edm Morewood | George Morewood
5805,William and James Constable,,,,,NY,US,state,James Constable | William Constable
6003,Moses and Charles Ogden,,,,,NY,US,state,Charles Ogden | Moses Ogden
6199,Horace and Seth Johnston,,,,,NY,US,state,Horace Johnston | Seth Johnston
6203,Michael and Thomas Bull,,,,,NY,US,state,Michael Bull | Thomas Bull
6367,Daniel and E Marsh,,,,,NY,US,state,Daniel Marsh | E Marsh
6379,Michael and Abraham Van Peene,,,,,NY,US,state,Abraham Van Peene | Michael Van Peene
6423,John and Alexander Mowatt,,,,,NY,US,state,Alexander Mowatt | John Mowatt
6424,Charles and Vanderborcht and DeWolf,,,,,NY,US,state,Charles John Michael De Wolf | Henry van der Borcht
6478,Alexander and Michael Mowatt,,,,,NY,US,state,Alexander Mowatt | Michael Mowatt
